,AB,BB,BH,IB,IH,MB,MH,PB
AB,1,0.00984873489517,0.00494918751165,0.0203464331834,0.00981208334814,0.00489063875504,0.0117962574331,0.0860213061173
BB,0.00984873489517,1,0.00507766242043,0.0144820837839,0.0107349267211,0.0039680442443,0.00949825909762,0.0777677075008
BH,0.00494918751165,0.00507766242043,1,0.0276911228229,0.0060279819212,0.00372418019247,0.00770113853311,0.106805487745
IB,0.0203464331834,0.0144820837839,0.0276911228229,1,0.0424365738446,0.00781186181779,0.0230145486926,0.0849611680014
IH,0.00981208334814,0.0107349267211,0.0060279819212,0.0424365738446,1,0.00495119518441,0.0117866643129,0.200077701813
MB,0.00489063875504,0.0039680442443,0.00372418019247,0.00781186181779,0.00495119518441,1,0.00817022860932,0.0332192789966
MH,0.0117962574331,0.00949825909762,0.00770113853311,0.0230145486926,0.0117866643129,0.00817022860932,1,0.079194933752
PB,0.0860213061173,0.0777677075008,0.106805487745,0.0849611680014,0.200077701813,0.0332192789966,0.079194933752,1
