,AB,BB,BH,IB,IH,MB,MH,PB
AB,0.996222028499,0.0933884061542,0.0974500659792,0.0660525593886,0.0575978817807,0.0564891385624,0.0785263070424,0.0632007173099
BB,0.0933884061542,0.994677738853,0.103808934293,0.0929165953334,0.053277771729,0.0996724803476,0.0779182635719,0.131281171647
BH,0.0974500659792,0.103808934293,0.995886486845,0.0581511850043,0.0639280304433,0.0393802925529,0.0906582047886,0.0497074405673
IB,0.0660525593886,0.0929165953334,0.0581511850043,0.99609830264,0.0336485293557,0.04221415187,0.0444927511427,0.118460367836
IH,0.0575978817807,0.053277771729,0.0639280304433,0.0336485293557,0.992926343946,0.0298477905431,0.0586704599774,0.0304896934296
MB,0.0564891385624,0.0996724803476,0.0393802925529,0.04221415187,0.0298477905431,0.99703208592,0.0398400990117,0.100777722629
MH,0.0785263070424,0.0779182635719,0.0906582047886,0.0444927511427,0.0586704599774,0.0398400990117,0.993063325385,0.039890605634
PB,0.0632007173099,0.131281171647,0.0497074405673,0.118460367836,0.0304896934296,0.100777722629,0.039890605634,0.994577481659
